Feature_ID,Phylum,Class,Order,Family,Genus,Species
00014cbccd2334c58448076d876c016b,P__Proteobacteria,C__Betaproteobacteria,O__Methylophilales,F__Methylophilaceae,,
0003b41f9c39a0ff369a1f58c7d846cf,P__Proteobacteria,C__Betaproteobacteria,,,,
000c0c9efdc28bb9d5d1e676c7da8b42,P__Actinobacteria,C__Actinobacteria,O__Actinomycetales,F__Promicromonosporaceae,G__Xylanimicrobium,S__pachnodae
000c69933659491bb7c5491dc80948b5,P__Actinobacteria,C__Actinobacteria,O__Actinomycetales,F__Microbacteriaceae,,
0015cccf077e7b5c459806e1e589ae14,P__Proteobacteria,C__Alphaproteobacteria,O__Rickettsiales,,,
00289cc65a3de5f7c0a699c89f2b3609,P__Proteobacteria,C__Alphaproteobacteria,O__Rhizobiales,F__Rhizobiaceae,G__Rhizobium,
003c516052b6ec582bf2b3a7420c8715,P__Proteobacteria,C__Gammaproteobacteria,O__Xanthomonadales,F__Xanthomonadaceae,G__Stenotrophomonas,
0064348f64149c1b8f1d49bb0d729b3e,P__Proteobacteria,C__Alphaproteobacteria,,,,
00775254f3eb8448f5a88a8575da0cde,P__Proteobacteria,C__Alphaproteobacteria,O__Rhizobiales,F__Rhizobiaceae,,
007d68d768f88e8292d32315e3c82ac1,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Burkholderiaceae,G__Burkholderia,S__bryophila
008112db7d0ee66cc688fb95119cd17e,P__Proteobacteria,C__Alphaproteobacteria,O__Rhizobiales,F__Rhizobiaceae,G__Rhizobium,S__multihospitium
009568b625c84da6bd0d7e6bf37d7040,P__Firmicutes,C__Bacilli,O__Bacillales,F__Paenibacillaceae,G__Cohnella,
00b078c4018be682cdca63dfcdbbbc88,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Comamonadaceae,,
00bb8367431abc771192f5d3fdeb6032,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Oxalobacteraceae,,
00c6b97f3996950eb48cb81979c25e0a,P__Actinobacteria,C__Actinobacteria,O__Actinomycetales,F__Mycobacteriaceae,G__Mycobacterium,S__celatum
00d46eafdbca3ee9a98aa0a295d7d7c8,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Comamonadaceae,,
00e2675550fc37118b0a4f6fc9dde7f3,P__Firmicutes,C__Bacilli,O__Bacillales,F__Paenibacillaceae,G__Paenibacillus,
00e32233c44f858e9c2c6dc51410b771,P__Proteobacteria,C__Alphaproteobacteria,O__Sphingomonadales,F__Sphingomonadaceae,G__Kaistobacter,
00e3828c87078038f072610bfb0da943,P__Actinobacteria,C__Actinobacteria,O__Actinomycetales,F__Mycobacteriaceae,G__Mycobacterium,S__llatzerense
00e662ad97859da8d7b5934671333bf2,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Burkholderiaceae,G__Burkholderia,S__andropogonis
00ff86dcce4796deb9296c378d010dbf,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Comamonadaceae,,
0105660fbaa83954158a7e9a1786facc,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Comamonadaceae,G__Comamonas,
01103b8737802860266e7873b4b21bc9,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Comamonadaceae,,
0118f91eb99b8058ce15d0caa0d13679,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Comamonadaceae,,
013fd8888e5281edbf622f4148c87769,,,,,,
0150983de0202e55ca49b1940ec57599,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Burkholderiaceae,G__Burkholderia,S__andropogonis
015fc94b7deaab4d0a72deda3a88b7ab,P__Proteobacteria,C__Betaproteobacteria,O__Methylophilales,F__Methylophilaceae,,
0175e1926a44cb36e4d8e1ada6e71451,P__Proteobacteria,C__Alphaproteobacteria,O__Caulobacterales,F__Caulobacteraceae,,
0180c2a04f32de22bb84907a457fd1c5,P__Bacteroidetes,C__Flavobacteriia,O__Flavobacteriales,F__[Weeksellaceae],,
0181393af7bf863f1a80d81b53d275e9,P__Proteobacteria,C__Alphaproteobacteria,O__Caulobacterales,F__Caulobacteraceae,G__Caulobacter,
0185b4a20bf57b8a36393ec1ad2e09a1,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Comamonadaceae,,
01aebcd6ed32cfc0d11aca4c0aab60a4,P__Proteobacteria,C__Alphaproteobacteria,O__Sphingomonadales,F__Sphingomonadaceae,G__Sphingomonas,S__oligophenolica
01b52101437e1f72885acb248e57d987,P__Proteobacteria,C__Gammaproteobacteria,O__Pseudomonadales,F__Pseudomonadaceae,G__Pseudomonas,
01c93b22005c0205c9417b539724e83b,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Alcaligenaceae,,
01f26ba801e30a5eab3ebd382b4cfd4f,P__Actinobacteria,C__Actinobacteria,O__Actinomycetales,F__Mycobacteriaceae,G__Mycobacterium,
020ada9119d36804dc7d1ea2fc1ac39a,P__Actinobacteria,C__Actinobacteria,O__Actinomycetales,F__Microbacteriaceae,G__Herbiconiux,
020fa4ece3cda45f589730df570da961,P__Firmicutes,C__Bacilli,O__Bacillales,F__Paenibacillaceae,G__Paenibacillus,
021a48b15d2c31ee632bb9b158c1b116,P__Proteobacteria,C__Gammaproteobacteria,O__Xanthomonadales,F__Xanthomonadaceae,G__Stenotrophomonas,
021b0a4e2d95973e88e7965088dc4a08,P__Firmicutes,C__Bacilli,O__Bacillales,F__Paenibacillaceae,G__Paenibacillus,
021c5b891400b6d9b57112db2890f06c,P__Bacteroidetes,C__Flavobacteriia,O__Flavobacteriales,F__[Weeksellaceae],G__Chryseobacterium,
02254971f87b11e7a7a33e1a8bdf63f8,P__Proteobacteria,C__Gammaproteobacteria,O__Enterobacteriales,F__Enterobacteriaceae,,
022f38ed0d1a043c91f36ac6a7bc7a60,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Comamonadaceae,,
