Feature_ID,Phylum,Class,Order,Family,Genus,Species
0004eae9eec63790559111d2228f1db4,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Burkholderiaceae,,
00127816e6c9ee9058eb4d044f59ec78,P__Proteobacteria,C__Gammaproteobacteria,O__Enterobacteriales,F__Enterobacteriaceae,G__Pseudomonas,S__syringae
002ecc77e736d40c8ebfe4a0e2b78f2d,P__Proteobacteria,C__Alphaproteobacteria,O__Sphingomonadales,F__Sphingomonadaceae,G__Novosphingobium,S__resinovorum
004b1197c43ce3cc90dce7c51a60ba1e,P__Proteobacteria,C__Alphaproteobacteria,O__Sphingomonadales,F__Sphingomonadaceae,G__Novosphingobium,S__resinovorum
0055439d4d8cc99639cdbcf79f607e81,P__Proteobacteria,C__Alphaproteobacteria,O__Sphingomonadales,,,
005cacf0e9e9541aa0506f6f25b2437c,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,,,
008112db7d0ee66cc688fb95119cd17e,P__Proteobacteria,C__Alphaproteobacteria,O__Rhizobiales,F__Rhizobiaceae,G__Rhizobium,S__multihospitium
008e52fa4cbee80f9ccd17d2b887c3bd,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Comamonadaceae,,
009568b625c84da6bd0d7e6bf37d7040,P__Firmicutes,C__Bacilli,O__Bacillales,F__Paenibacillaceae,G__Cohnella,
00a94b5197a4622604ab761a8e794e45,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Comamonadaceae,,
00aae8e945933006e4f571a09e974f5f,P__Proteobacteria,C__Gammaproteobacteria,O__Xanthomonadales,F__Xanthomonadaceae,,
00ab31d455d5054622097b1a9dbfc161,P__Bacteroidetes,C__[Saprospirae],O__[Saprospirales],F__Chitinophagaceae,G__Chitinophaga,
00b108a057c8929d1e8375aca133266c,P__Actinobacteria,C__Actinobacteria,O__Actinomycetales,F__Mycobacteriaceae,G__Mycobacterium,S__celatum
00d1268033c1a2a93bd6520f8844417d,P__Bacteroidetes,C__Flavobacteriia,O__Flavobacteriales,F__[Weeksellaceae],,
00d22d0159097efaee08d535ed8607fc,P__Proteobacteria,C__Alphaproteobacteria,O__Caulobacterales,F__Caulobacteraceae,,
00d39f463fa66ed2380c7b9a836b4e2a,P__Proteobacteria,C__Alphaproteobacteria,O__Rhizobiales,F__Bradyrhizobiaceae,,
00e2675550fc37118b0a4f6fc9dde7f3,P__Firmicutes,C__Bacilli,O__Bacillales,F__Paenibacillaceae,G__Paenibacillus,
00e662ad97859da8d7b5934671333bf2,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,F__Burkholderiaceae,G__Burkholderia,S__andropogonis
013a5ae1c8c38486ec0a3013e939156d,P__Actinobacteria,C__Actinobacteria,O__Actinomycetales,F__Nocardioidaceae,G__Nocardioides,
0146fc8cfd238518c7a682c80658ef0e,P__Actinobacteria,C__Actinobacteria,O__Actinomycetales,F__Nocardioidaceae,G__Nocardioides,
01472c3cce864d88109b549b7d75ba77,P__Proteobacteria,C__Alphaproteobacteria,O__Sphingomonadales,F__Sphingomonadaceae,G__Novosphingobium,S__resinovorum
014deb2178deacb52fb1acd77ceb1de8,P__Firmicutes,C__Bacilli,O__Bacillales,F__Paenibacillaceae,G__Brevibacillus,
015a98a9a38b3719530a52ecfd58d60a,P__Proteobacteria,C__Gammaproteobacteria,,,,
0161182324fad1f76f072fca43e9b01d,P__Actinobacteria,C__Actinobacteria,O__Actinomycetales,F__Microbacteriaceae,G__Agromyces,S__mediolanus
018358150444bfdbe94c4fe77eb00c9d,P__Proteobacteria,C__Alphaproteobacteria,,,,
018458d15a387e00e74c822046d05db4,P__Proteobacteria,C__Gammaproteobacteria,O__Pseudomonadales,F__Pseudomonadaceae,G__Pseudomonas,
018aac44c8ce951a4938546a67f7a945,P__Actinobacteria,C__Actinobacteria,O__Actinomycetales,F__Nocardiaceae,G__Skermania,S__piniformis
01dbe635f97ada922ab669a7d8ba61af,P__Proteobacteria,C__Betaproteobacteria,O__Burkholderiales,,,
01dceb2fbda76e36c891e421830f3d85,P__Proteobacteria,C__Alphaproteobacteria,,,,
01eb7c3a5105c51040561a03c42662b5,P__Firmicutes,C__Bacilli,O__Bacillales,F__Paenibacillaceae,G__Paenibacillus,
01f2e8319b6eae9996228cfabb89cd92,P__Actinobacteria,C__Actinobacteria,O__Actinomycetales,F__Microbacteriaceae,,
020867a2926a0db6ade01877fb9d97e9,P__Proteobacteria,C__Alphaproteobacteria,O__Rhizobiales,F__Phyllobacteriaceae,,
021c5b891400b6d9b57112db2890f06c,P__Bacteroidetes,C__Flavobacteriia,O__Flavobacteriales,F__[Weeksellaceae],G__Chryseobacterium,
0231ae89d7334679f1fc218d4f2281de,P__Firmicutes,C__Bacilli,O__Bacillales,F__Paenibacillaceae,G__Ammoniphilus,
