sample_id,input_com,day,compartment,genotype,input_com_day_compartment,input_com_day_compartment_genotype,replicate
Regular_total_Col_1,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,1
Regular_total_Col_2,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,2
Regular_total_Col_3,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,3
Regular_total_Col_4,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,4
Regular_total_Col_5,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,5
Regular_total_Col_6,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,6
Regular_total_Col_7,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,7
Regular_total_Col_8,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,8
Regular_total_Col_9,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,9
Regular_total_Col_10,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,10
Regular_total_Col_11,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,11
Regular_total_Col_12,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,12
Regular_total_Col_13,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,13
Regular_total_Col_14,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,14
Regular_total_Col_15,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,15
Regular_total_Col_16,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,16
Regular_total_cad_1,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,1
Regular_total_cad_2,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,2
Regular_total_cad_3,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,3
Regular_total_cad_4,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,4
Regular_total_cad_5,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,5
Regular_total_cad_6,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,6
Regular_total_cad_7,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,7
Regular_total_cad_8,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,8
Regular_total_cad_9,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,9
Regular_total_cad_10,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,10
Regular_total_cad_11,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,11
Regular_total_cad_12,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,12
Regular_total_cad_13,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,13
Regular_total_cad_14,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,14
Regular_total_cad_15,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,15
Regular_total_cad_16,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,16
Regular_endo_Col_1,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,1
Regular_endo_Col_2,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,2
Regular_endo_Col_3,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,3
Regular_endo_Col_4,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,4
Regular_endo_Col_5,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,5
Regular_endo_Col_6,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,6
Regular_endo_Col_7,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,7
Regular_endo_Col_8,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,8
Regular_endo_Col_9,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,9
Regular_endo_Col_10,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,10
Regular_endo_Col_11,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,11
Regular_endo_Col_12,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,12
Regular_endo_Col_13,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,13
Regular_endo_Col_14,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,14
Regular_endo_Col_15,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,15
Regular_endo_Col_16,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,16
Regular_endo_cad_1,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,1
Regular_endo_cad_2,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,2
Regular_endo_cad_3,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,3
Regular_endo_cad_4,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,4
Regular_endo_cad_5,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,5
Regular_endo_cad_6,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,6
Regular_endo_cad_7,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,7
Regular_endo_cad_8,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,8
Regular_endo_cad_9,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,9
Regular_endo_cad_10,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,10
Regular_endo_cad_11,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,11
Regular_endo_cad_12,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,12
Regular_endo_cad_13,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,13
Regular_endo_cad_14,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,14
Regular_endo_cad_15,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,15
Regular_endo_cad_16,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,16
Syn_total_Col_1,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,1
