index,Betaproteobacteria,Gammaproteobacteria,Alphaproteobacteria,Firmicutes,Actinobacteria,Bacteroidetes,Others,input-com,day,compartment,genotype,replicate
Regular-endo-cad-1,24357,20371,272,33,21,614,12,AtMix,D5,endosphere,cad1,1
Regular-endo-cad-10,46536,13519,279,40,0,0,0,AtMix,D5,endosphere,cad1,10
Regular-endo-cad-11,21120,20376,199,26,50,289,3,AtMix,D5,endosphere,cad1,11
Regular-endo-cad-12,16151,24060,30,4,0,221,0,AtMix,D5,endosphere,cad1,12
Regular-endo-cad-13,16871,26964,120,43,352,112,3,AtMix,D5,endosphere,cad1,13
Regular-endo-cad-14,16155,21052,77,49,98,56,1,AtMix,D5,endosphere,cad1,14
Regular-endo-cad-15,10955,20230,37,17,0,21,14,AtMix,D5,endosphere,cad1,15
Regular-endo-cad-16,16290,29770,561,145,30,6717,20,AtMix,D5,endosphere,cad1,16
Regular-endo-cad-2,32287,22299,211,111,62,742,13,AtMix,D5,endosphere,cad1,2
Regular-endo-cad-3,15109,36613,20,506,2,14,0,AtMix,D5,endosphere,cad1,3
Regular-endo-cad-4,29872,24947,45,144,102,16,0,AtMix,D5,endosphere,cad1,4
Regular-endo-cad-5,17890,26541,83,223,85,32,56,AtMix,D5,endosphere,cad1,5
Regular-endo-cad-6,17679,10342,54,26,12,32,11,AtMix,D5,endosphere,cad1,6
Regular-endo-cad-7,6667,20312,101,49,0,74,0,AtMix,D5,endosphere,cad1,7
Regular-endo-cad-8,33101,19071,895,29,409,65,6,AtMix,D5,endosphere,cad1,8
Regular-endo-cad-9,21829,26087,33,62,26,28,0,AtMix,D5,endosphere,cad1,9
Regular-endo-Col-1,1015,44822,587,2455,43,7,9,AtMix,D5,endosphere,Col-0,1
Regular-endo-Col-10,2806,7064,555,5919,3864,16,0,AtMix,D5,endosphere,Col-0,10
Regular-endo-Col-11,2593,2279,351,7931,4710,86,33,AtMix,D5,endosphere,Col-0,11
Regular-endo-Col-12,22133,1798,1392,5010,1386,339,48,AtMix,D5,endosphere,Col-0,12
Regular-endo-Col-13,2815,234,494,5854,702,379,5,AtMix,D5,endosphere,Col-0,13
Regular-endo-Col-14,4653,721,1147,3387,375,280,3,AtMix,D5,endosphere,Col-0,14
Regular-endo-Col-15,2410,1883,594,3987,695,201,98,AtMix,D5,endosphere,Col-0,15
Regular-endo-Col-16,18442,1677,521,3394,1544,741,83,AtMix,D5,endosphere,Col-0,16
Regular-endo-Col-2,2186,253,366,7740,249,66,7,AtMix,D5,endosphere,Col-0,2
Regular-endo-Col-3,1897,225,1154,4405,5912,84,36,AtMix,D5,endosphere,Col-0,3
Regular-endo-Col-4,7918,53006,664,707,212,774,0,AtMix,D5,endosphere,Col-0,4
Regular-endo-Col-5,5126,3307,708,7358,2045,49,45,AtMix,D5,endosphere,Col-0,5
Regular-endo-Col-6,1842,2015,520,2168,445,220,64,AtMix,D5,endosphere,Col-0,6
Regular-endo-Col-7,757,304,1792,8438,156,40,11,AtMix,D5,endosphere,Col-0,7
Regular-endo-Col-8,1085,166,70,59852,175,30,105,AtMix,D5,endosphere,Col-0,8
Regular-endo-Col-9,9127,4222,999,7115,4450,135,72,AtMix,D5,endosphere,Col-0,9
Regular-total-cad-1,30679,515,562,43,195,144,5,AtMix,D5,total,cad1,1
Regular-total-cad-10,34117,1174,1898,263,847,552,10,AtMix,D5,total,cad1,10
Regular-total-cad-11,21799,606,1288,101,1023,2327,10,AtMix,D5,total,cad1,11
Regular-total-cad-12,29128,2532,942,31,526,483,10,AtMix,D5,total,cad1,12
Regular-total-cad-13,18107,10195,713,0,485,360,11,AtMix,D5,total,cad1,13
Regular-total-cad-14,18560,1185,934,14,385,91,0,AtMix,D5,total,cad1,14
Regular-total-cad-15,20922,518,1040,11,498,291,34,AtMix,D5,total,cad1,15
Regular-total-cad-16,35266,808,1700,186,1221,811,44,AtMix,D5,total,cad1,16
Regular-total-cad-2,38930,2060,1034,96,598,174,3,AtMix,D5,total,cad1,2
Regular-total-cad-3,29748,5297,772,166,405,601,11,AtMix,D5,total,cad1,3
