index,I1_D0_Col0_1,I1_D0_Col0_2,I1_D0_Col0_3,I1_D0_Col0_4,I1_D0_Col0_5,I1_D0_mfec_1,I1_D0_mfec_2,I1_D0_mfec_3,I1_D0_mfec_4,I1_D0_mfec_5,I1_D5_Col0_1,I1_D5_Col0_2,I1_D5_Col0_3,I1_D5_Col0_4,I1_D5_Col0_5,I1_D5_mfec_1,I1_D5_mfec_2,I1_D5_mfec_3,I1_D5_mfec_4,I1_D5_mfec_5,I1_D6_Syncom_Col0_1,I1_D6_Syncom_Col0_2,I1_D6_Syncom_Col0_3,I1_D6_Syncom_Col0_4,I1_D6_Syncom_Col0_5,I1_D6_Syncom_fec_1,I1_D6_Syncom_fec_2,I1_D6_Syncom_fec_3,I1_D6_Syncom_fec_4,I1_D6_Syncom_fec_5,I1_D6_Syncom_mfec_1,I1_D6_Syncom_mfec_2,I1_D6_Syncom_mfec_3,I1_D6_Syncom_mfec_4,I1_D6_Syncom_mfec_5,I1_D6_Syncom_min7_1,I1_D6_Syncom_min7_2,I1_D6_Syncom_min7_3,I1_D6_Syncom_min7_4,I1_D6_Syncom_min7_5,I1_NS_D0_Col0_1,I1_NS_D0_Col0_2,I1_NS_D0_Col0_3,I1_NS_D0_Col0_4,I1_NS_D0_Col0_5,I1_NS_D0_mfec_1,I1_NS_D0_mfec_2,I1_NS_D0_mfec_3,I1_NS_D0_mfec_4,I1_NS_D0_mfec_5,I1_NS_D5_Col0_1,I1_NS_D5_Col0_2,I1_NS_D5_Col0_3,I1_NS_D5_Col0_4,I1_NS_D5_Col0_5,I1_NS_D5_mfec_1,I1_NS_D5_mfec_2,I1_NS_D5_mfec_3,I1_NS_D5_mfec_4,I1_NS_D5_mfec_5,I2_D0_Col0_1,I2_D0_Col0_2,I2_D0_Col0_3,I2_D0_Col0_4,I2_D0_Col0_5,I2_D0_mfec_1,I2_D0_mfec_2,I2_D0_mfec_3,I2_D0_mfec_4,I2_D0_mfec_5,I2_D5_Col0_1,I2_D5_Col0_2,I2_D5_Col0_3,I2_D5_Col0_4,I2_D5_Col0_5,I2_D5_mfec_1,I2_D5_mfec_2,I2_D5_mfec_3,I2_D5_mfec_4,I2_D5_mfec_5,I2_D6_Syncom_Col0_1,I2_D6_Syncom_Col0_2,I2_D6_Syncom_Col0_3,I2_D6_Syncom_Col0_4,I2_D6_Syncom_Col0_5,I2_D6_Syncom_fec_1,I2_D6_Syncom_fec_2,I2_D6_Syncom_fec_3,I2_D6_Syncom_fec_4,I2_D6_Syncom_fec_5,I2_D6_Syncom_mfec_1,I2_D6_Syncom_mfec_2,I2_D6_Syncom_mfec_3,I2_D6_Syncom_mfec_4,I2_D6_Syncom_mfec_5,I2_D6_Syncom_min7_1,I2_D6_Syncom_min7_2,I2_D6_Syncom_min7_3,I2_D6_Syncom_min7_4,I2_D6_Syncom_min7_5,I2_NS_D0_Col0_1,I2_NS_D0_Col0_2,I2_NS_D0_Col0_3,I2_NS_D0_Col0_4,I2_NS_D0_Col0_5,I2_NS_D0_mfec_1,I2_NS_D0_mfec_2,I2_NS_D0_mfec_3,I2_NS_D0_mfec_4,I2_NS_D0_mfec_5,I2_NS_D5_Col0_1,I2_NS_D5_Col0_2,I2_NS_D5_Col0_3,I2_NS_D5_Col0_4,I2_NS_D5_Col0_5,I2_NS_D5_mfec_1,I2_NS_D5_mfec_2,I2_NS_D5_mfec_3,I2_NS_D5_mfec_4,I2_NS_D5_mfec_5,I3_D0_Col0_1,I3_D0_Col0_2,I3_D0_Col0_3,I3_D0_Col0_4,I3_D0_Col0_5,I3_D0_mfec_1,I3_D0_mfec_2,I3_D0_mfec_3,I3_D0_mfec_4,I3_D0_mfec_5,I3_D5_Col0_1,I3_D5_Col0_2,I3_D5_Col0_3,I3_D5_Col0_4,I3_D5_Col0_5,I3_D5_mfec_1,I3_D5_mfec_2,I3_D5_mfec_3,I3_D5_mfec_4,I3_D5_mfec_5,I3_D6_Syncom_Col0_1,I3_D6_Syncom_Col0_2,I3_D6_Syncom_Col0_3,I3_D6_Syncom_Col0_4,I3_D6_Syncom_Col0_5,I3_D6_Syncom_fec_1,I3_D6_Syncom_fec_2,I3_D6_Syncom_fec_3,I3_D6_Syncom_fec_4,I3_D6_Syncom_fec_5,I3_D6_Syncom_mfec_1,I3_D6_Syncom_mfec_2,I3_D6_Syncom_mfec_3,I3_D6_Syncom_mfec_4,I3_D6_Syncom_mfec_5,I3_D6_Syncom_min7_1,I3_D6_Syncom_min7_2,I3_D6_Syncom_min7_3,I3_D6_Syncom_min7_4,I3_D6_Syncom_min7_5,I3_NS_D0_Col0_1,I3_NS_D0_Col0_2,I3_NS_D0_Col0_3,I3_NS_D0_Col0_4,I3_NS_D0_Col0_5,I3_NS_D0_mfec_1,I3_NS_D0_mfec_2,I3_NS_D0_mfec_3,I3_NS_D0_mfec_4,I3_NS_D0_mfec_5,I3_NS_D5_Col0_1,I3_NS_D5_Col0_2,I3_NS_D5_Col0_3,I3_NS_D5_Col0_4,I3_NS_D5_Col0_5,I3_NS_D5_mfec_1,I3_NS_D5_mfec_2,I3_NS_D5_mfec_3,I3_NS_D5_mfec_4,I3_NS_D5_mfec_5,I4_D6_Syncom_Col0_1,I4_D6_Syncom_Col0_2,I4_D6_Syncom_Col0_3,I4_D6_Syncom_Col0_4,I4_D6_Syncom_Col0_5,I4_D6_Syncom_fec_1,I4_D6_Syncom_fec_2,I4_D6_Syncom_fec_3,I4_D6_Syncom_fec_4,I4_D6_Syncom_fec_5,I4_D6_Syncom_mfec_1,I4_D6_Syncom_mfec_2,I4_D6_Syncom_mfec_3,I4_D6_Syncom_mfec_4,I4_D6_Syncom_mfec_5,I4_D6_Syncom_min7_1,I4_D6_Syncom_min7_2,I4_D6_Syncom_min7_3,I4_D6_Syncom_min7_4,I4_D6_Syncom_min7_5,I4_NS_D0_Col0_1,I4_NS_D0_Col0_2,I4_NS_D0_Col0_3,I4_NS_D0_Col0_4,I4_NS_D0_Col0_5,I4_NS_D0_mfec_1,I4_NS_D0_mfec_2,I4_NS_D0_mfec_3,I4_NS_D0_mfec_4,I4_NS_D0_mfec_5,I4_NS_D5_Col0_1,I4_NS_D5_Col0_2,I4_NS_D5_Col0_3,I4_NS_D5_Col0_4,I4_NS_D5_Col0_5,I4_NS_D5_mfec_1,I4_NS_D5_mfec_2,I4_NS_D5_mfec_3,I4_NS_D5_mfec_4,I4_NS_D5_mfec_5,I5_D0_Col0_1,I5_D0_Col0_2,I5_D0_Col0_3,I5_D0_Col0_4,I5_D0_Col0_5,I5_D0_mfec_1,I5_D0_mfec_2,I5_D0_mfec_3,I5_D0_mfec_4,I5_D0_mfec_5,I5_D5_Col0_1,I5_D5_Col0_2,I5_D5_Col0_3,I5_D5_Col0_4,I5_D5_Col0_5,I5_D5_mfec_1,I5_D5_mfec_2,I5_D5_mfec_3,I5_D5_mfec_4,I5_D5_mfec_5,I5_D6_Syncom_Col0_1,I5_D6_Syncom_Col0_2,I5_D6_Syncom_Col0_3,I5_D6_Syncom_Col0_4,I5_D6_Syncom_Col0_5,I5_D6_Syncom_fec_1,I5_D6_Syncom_fec_2,I5_D6_Syncom_fec_3,I5_D6_Syncom_fec_4,I5_D6_Syncom_fec_5,I5_D6_Syncom_mfec_1,I5_D6_Syncom_mfec_2,I5_D6_Syncom_mfec_3,I5_D6_Syncom_mfec_4,I5_D6_Syncom_mfec_5,I5_D6_Syncom_min7_1,I5_D6_Syncom_min7_2,I5_D6_Syncom_min7_3,I5_D6_Syncom_min7_4,I5_D6_Syncom_min7_5
k__Bacteria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k__Bacteria;p__[Thermi],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020593446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003672613,0,0,0.001831949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000375084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031128405,0.032934132,0,0.025943396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__[Thermi];c__Deinococci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020593446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003672613,0,0,0.001831949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000375084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031128405,0.032934132,0,0.025943396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020593446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003672613,0,0,0.001831949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000375084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031128405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020593446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000375084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031128405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020593446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000375084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031128405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Trueperaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003672613,0,0,0.001831949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003672613,0,0,0.001831949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032934132,0,0.025943396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales;f__Thermaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032934132,0,0.025943396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
