sample_id,Group,Design,Experiment,Days,Niche,Genotype,input,filtered,denoised,merged,non-chimeric,Bacteria
I1_D0_Col0_1,I1-D0-Col0,Natural_endo,I1,D0,Endo,Col0,197373,162950,162950,96972,89576,196
I1_D0_Col0_2,I1-D0-Col0,Natural_endo,I1,D0,Endo,Col0,68535,53290,53290,33028,30475,82
I1_D0_Col0_3,I1-D0-Col0,Natural_endo,I1,D0,Endo,Col0,47656,35950,35950,23093,21497,72
I1_D0_Col0_4,I1-D0-Col0,Natural_endo,I1,D0,Endo,Col0,74000,53304,53304,48649,44168,11763
I1_D0_Col0_5,I1-D0-Col0,Natural_endo,I1,D0,Endo,Col0,84855,65875,65875,41362,38343,191
I1_D0_mfec_1,I1-D0-mfec,Natural_endo,I1,D0,Endo,mfec,4616,594,594,346,346,48
I1_D0_mfec_2,I1-D0-mfec,Natural_endo,I1,D0,Endo,mfec,73673,56887,56887,41383,38394,96
I1_D0_mfec_3,I1-D0-mfec,Natural_endo,I1,D0,Endo,mfec,346697,290550,290550,196885,169553,343
I1_D0_mfec_4,I1-D0-mfec,Natural_endo,I1,D0,Endo,mfec,220902,183893,183893,119358,105481,176
I1_D0_mfec_5,I1-D0-mfec,Natural_endo,I1,D0,Endo,mfec,234011,186979,186979,116939,98562,55
I1_D5_Col0_1,I1-D5-Col0,Natural_endo,I1,D5,Endo,Col0,22866,16588,16588,10693,9984,432
I1_D5_Col0_2,I1-D5-Col0,Natural_endo,I1,D5,Endo,Col0,39049,31189,31189,19469,17593,582
I1_D5_Col0_3,I1-D5-Col0,Natural_endo,I1,D5,Endo,Col0,238208,200482,200482,130739,114953,6222
I1_D5_Col0_4,I1-D5-Col0,Natural_endo,I1,D5,Endo,Col0,267345,199474,199474,123028,99159,2817
I1_D5_Col0_5,I1-D5-Col0,Natural_endo,I1,D5,Endo,Col0,191612,146409,146409,96148,65189,5540
I1_D5_mfec_1,I1-D5-mfec,Natural_endo,I1,D5,Endo,mfec,36320,24750,24750,23583,15780,15338
I1_D5_mfec_2,I1-D5-mfec,Natural_endo,I1,D5,Endo,mfec,302609,231034,231034,223829,215031,213412
I1_D5_mfec_3,I1-D5-mfec,Natural_endo,I1,D5,Endo,mfec,127396,95520,95520,86226,57638,55854
I1_D5_mfec_4,I1-D5-mfec,Natural_endo,I1,D5,Endo,mfec,35405,26028,26028,24261,15652,15268
I1_D5_mfec_5,I1-D5-mfec,Natural_endo,I1,D5,Endo,mfec,12378,7912,7912,7422,5173,4823
I2_D0_Col0_1,I2-D0-Col0,Natural_endo,I2,D0,Endo,Col0,197174,167070,167070,83894,75462,320
I2_D0_Col0_2,I2-D0-Col0,Natural_endo,I2,D0,Endo,Col0,134193,112152,112152,52947,48938,2066
I2_D0_Col0_3,I2-D0-Col0,Natural_endo,I2,D0,Endo,Col0,211733,176164,176164,91662,83146,444
I2_D0_Col0_4,I2-D0-Col0,Natural_endo,I2,D0,Endo,Col0,280664,242932,242932,123657,115104,557
I2_D0_Col0_5,I2-D0-Col0,Natural_endo,I2,D0,Endo,Col0,19807,12776,12776,6448,6185,69
I2_D0_mfec_1,I2-D0-mfec,Natural_endo,I2,D0,Endo,mfec,268559,229445,229445,130320,121674,983
I2_D0_mfec_2,I2-D0-mfec,Natural_endo,I2,D0,Endo,mfec,309023,271427,271427,149699,139873,313
I2_D0_mfec_3,I2-D0-mfec,Natural_endo,I2,D0,Endo,mfec,193961,165499,165499,125111,119292,482
I2_D0_mfec_4,I2-D0-mfec,Natural_endo,I2,D0,Endo,mfec,246683,209575,209575,166382,159040,4742
I2_D0_mfec_5,I2-D0-mfec,Natural_endo,I2,D0,Endo,mfec,200357,173307,173307,128331,123613,2510
I2_D5_Col0_1,I2-D5-Col0,Natural_endo,I2,D5,Endo,Col0,253715,197818,197818,118794,100967,10735
I2_D5_Col0_2,I2-D5-Col0,Natural_endo,I2,D5,Endo,Col0,284987,240254,240254,147263,130854,3812
I2_D5_Col0_3,I2-D5-Col0,Natural_endo,I2,D5,Endo,Col0,259815,210972,210972,125528,110064,4383
I2_D5_Col0_4,I2-D5-Col0,Natural_endo,I2,D5,Endo,Col0,418446,339281,339281,185723,156343,13966
I2_D5_Col0_5,I2-D5-Col0,Natural_endo,I2,D5,Endo,Col0,289785,240742,240742,153291,130917,8188
I2_D5_mfec_1,I2-D5-mfec,Natural_endo,I2,D5,Endo,mfec,283322,158096,158096,151605,134625,133223
I2_D5_mfec_2,I2-D5-mfec,Natural_endo,I2,D5,Endo,mfec,378007,286098,286098,273281,166647,162689
I2_D5_mfec_3,I2-D5-mfec,Natural_endo,I2,D5,Endo,mfec,237949,179787,179787,162808,120668,116177
I2_D5_mfec_4,I2-D5-mfec,Natural_endo,I2,D5,Endo,mfec,245103,163256,163256,138066,97263,89437
I2_D5_mfec_5,I2-D5-mfec,Natural_endo,I2,D5,Endo,mfec,379557,293963,293963,284864,273496,272220
I3_D0_Col0_1,I3-D0-Col0,Natural_endo,I3,D0,Endo,Col0,73206,59800,59800,35744,32866,3450
I3_D0_Col0_2,I3-D0-Col0,Natural_endo,I3,D0,Endo,Col0,174590,148282,148282,83979,76511,2509
I3_D0_Col0_3,I3-D0-Col0,Natural_endo,I3,D0,Endo,Col0,251547,219937,219937,117769,106309,3893
I3_D0_Col0_4,I3-D0-Col0,Natural_endo,I3,D0,Endo,Col0,78017,65874,65874,36264,33144,1619
I3_D0_Col0_5,I3-D0-Col0,Natural_endo,I3,D0,Endo,Col0,155227,132840,132840,64428,58481,3178
