index,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,Unassigned;__,k__Bacteria;__,k__Bacteria;p__,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Armatimonadetes,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteria,k__Bacteria;p__LCP-89,k__Bacteria;p__OP8,k__Bacteria;p__Spirochaetes,k__Bacteria;p__TM7,k__Bacteria;p__[Thermi],Group,Design,Experiment,Days,Niche,Genotype
I1_D0_Col0_1,139,7,112,20,0,5,0,0,40,0,0,0,0,0,12,0,0,0,0,0,0,I1-D0-Col0,Natural_endo,I1,D0,Endo,Col0
I1_D0_Col0_2,70,0,34,36,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,I1-D0-Col0,Natural_endo,I1,D0,Endo,Col0
I1_D0_Col0_3,57,0,28,29,0,0,0,0,9,0,2,0,0,0,4,0,0,0,0,0,0,I1-D0-Col0,Natural_endo,I1,D0,Endo,Col0
I1_D0_Col0_4,11151,69,7023,4059,0,0,0,81,173,0,31,0,0,0,327,0,0,0,0,0,0,I1-D0-Col0,Natural_endo,I1,D0,Endo,Col0
I1_D0_Col0_5,105,0,70,35,0,3,0,0,5,0,0,0,0,0,78,0,0,0,0,0,0,I1-D0-Col0,Natural_endo,I1,D0,Endo,Col0
I1_D0_mfec_1,48,0,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I1-D0-mfec,Natural_endo,I1,D0,Endo,mfec
I1_D0_mfec_2,84,0,57,27,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,I1-D0-mfec,Natural_endo,I1,D0,Endo,mfec
I1_D0_mfec_3,228,4,209,15,0,47,0,6,41,0,0,0,14,0,7,0,0,0,0,0,0,I1-D0-mfec,Natural_endo,I1,D0,Endo,mfec
I1_D0_mfec_4,139,0,129,10,0,16,0,0,10,0,0,0,0,0,6,0,0,5,0,0,0,I1-D0-mfec,Natural_endo,I1,D0,Endo,mfec
I1_D0_mfec_5,44,0,36,8,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,I1-D0-mfec,Natural_endo,I1,D0,Endo,mfec
I1_D5_Col0_1,246,13,193,40,0,0,0,0,60,0,0,0,0,0,126,0,0,0,0,0,0,I1-D5-Col0,Natural_endo,I1,D5,Endo,Col0
I1_D5_Col0_2,132,93,32,7,0,3,0,0,69,0,0,0,0,0,378,0,0,0,0,0,0,I1-D5-Col0,Natural_endo,I1,D5,Endo,Col0
I1_D5_Col0_3,1687,209,1345,128,0,0,0,0,585,0,9,95,6,0,3840,0,0,0,0,0,0,I1-D5-Col0,Natural_endo,I1,D5,Endo,Col0
I1_D5_Col0_4,1057,109,934,14,0,0,0,0,253,0,0,0,0,0,1507,0,0,0,0,0,0,I1-D5-Col0,Natural_endo,I1,D5,Endo,Col0
I1_D5_Col0_5,1058,246,762,50,0,11,0,0,165,0,0,65,0,0,4241,0,0,0,0,0,0,I1-D5-Col0,Natural_endo,I1,D5,Endo,Col0
I1_D5_mfec_1,15336,8,15275,53,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,I1-D5-mfec,Natural_endo,I1,D5,Endo,mfec
I1_D5_mfec_2,213339,57,213235,16,0,17,0,0,39,0,2,0,0,0,15,0,0,0,0,0,0,I1-D5-mfec,Natural_endo,I1,D5,Endo,mfec
I1_D5_mfec_3,55713,52,55269,372,0,0,0,0,66,0,0,16,0,0,59,0,0,0,0,0,0,I1-D5-mfec,Natural_endo,I1,D5,Endo,mfec
I1_D5_mfec_4,15191,152,14849,190,0,0,0,0,9,0,0,0,0,0,68,0,0,0,0,0,0,I1-D5-mfec,Natural_endo,I1,D5,Endo,mfec
